brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Toyota,Vios,2016.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,296000000
Mazda,CX 5,2020.0,80000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,655000000
Ford,Everest,2019.0,60000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,859000000
Toyota,Wigo,2019.0,95000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,199000000
Toyota,Wigo,2019.0,128000.0,Xăng,Tự động,Nước khác,Hatchback,5.0,255000000
Kia,Morning,2017.0,98000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,145000000
BMW,7 Series,2009.0,77000.0,Xăng,Tự động,Đức,Sedan,4.0,599000000
Mercedes Benz,GLE Class,2016.0,88000.0,Xăng,Tự động,Đức,SUV / Cross over,5.0,1388000000
Ford,Territory,2025.0,29.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,677000000
Kia,Carens,2011.0,100.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),7.0,185000000
Honda,Civic,2009.0,125858.0,Xăng,Số sàn,Việt Nam,Sedan,4.0,205000000
Mitsubishi,Xpander,2022.0,5000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,575000000
Chevrolet,Spark,2014.0,90000.0,Xăng,Số sàn,Việt Nam,Hatchback,2.0,90000000
Mazda,CX 5,2017.0,70000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,535000000
Mercedes Benz,C Class,2021.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1159000000
Daewoo,Gentra,2009.0,123456.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,85000000
Mitsubishi,Pajero,2000.0,150000.0,Xăng,Số sàn,Nhật Bản,Hatchback,7.0,85000000
Mitsubishi,Xpander,2022.0,5300.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,575000000
Ford,Ranger,2021.0,52000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,995000000
Toyota,Innova,2011.0,100000.0,Xăng,Số sàn,Nhật Bản,SUV / Cross over,7.0,170000000
Mitsubishi,Xpander,2019.0,20000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),5.0,469000000
Ford,EcoSport,2020.0,80000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,458000000
Mitsubishi,Jolie,2004.0,168218.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,8.0,115000000
Toyota,Corolla Cross,2020.0,56000.0,Xăng,5,Thái Lan,SUV / Cross over,5.0,630000000
Kia,Sorento,2018.0,99000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,610000000
Honda,CR V,2014.0,76000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,450000000
Kia,Carnival,2022.0,21000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,1265000000
Mazda,CX 5,2023.0,39000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,799000000
Mitsubishi,Xforce,2024.0,13000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,648000000
Hyundai,Tucson,2019.0,58000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,675000000
Suzuki,Ertiga,2022.0,70000.0,Động cơ Hybrid,Tự động,Ấn Độ,Sedan,7.0,470000000
Mitsubishi,Xforce,2024.0,4000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,685000000
Hyundai,Grand i10,2021.0,31000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,370000000
Chevrolet,Colorado,2017.0,93000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,320000000
Suzuki,XL 7,2022.0,86000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,450000000
Mercedes Benz,C Class,2019.0,28000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1045000000
