brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Daewoo,Matiz,2010.0,129000.0,Xăng,Tự động,Hàn Quốc,Hatchback,5.0,150000000
Toyota,Innova,2021.0,88800.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,702000000
Kia,Cerato,2017.0,121200.0,Xăng,Tự động,Việt Nam,Sedan,5.0,348000000
Ford,Everest,2023.0,16000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,1269000000
Mitsubishi,Grandis,2010.0,116000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,333000000
Hyundai,Accent,2019.0,12.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,300000000
Toyota,Veloz Cross,2022.0,63000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,565000000
Ford,EcoSport,2015.0,176.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,275000000
MG,MGZS,2024.0,8100.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,460000000
Peugeot,3008,2016.0,36000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,395000000
Toyota,Innova,2020.0,99000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,530000000
Ford,Everest,2023.0,39000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,1460000000
Ford,Everest,2010.0,2112.0,Dầu,Tự động,Mỹ,SUV / Cross over,7.0,279000000
Ford,Ranger,2019.0,60000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,455000000
Toyota,Innova,2024.0,8800.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,740000000
Toyota,Veloz Cross,2022.0,63000.0,Xăng,Tự động,Thái Lan,Minivan (MPV),7.0,520000000
Hyundai,Tucson,2019.0,58000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,685000000
BMW,3 Series,2018.0,14000.0,Xăng,Tự động,Đức,Sedan,4.0,759000000
MG,MG5,2022.0,400000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,399000000
Toyota,Innova,2019.0,65800.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,610000000
Kia,Morning,2019.0,47000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,295000000
Hyundai,Santa Fe,2022.0,45000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,9.0,880000000
Toyota,Camry,2018.0,63900.0,Xăng,Tự động,Việt Nam,Sedan,5.0,660000000
