brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Toyota,Rush,2021.0,57000.0,Xăng,Tự động,Thái Lan,Minivan (MPV),7.0,Đã sử dụng,525000000
Mercedes Benz,C Class,2015.0,90000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,569000000
Toyota,Vios,2017.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,335000000
Mitsubishi,Grandis,2008.0,140000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,Đã sử dụng,268000000
Toyota,Innova,2008.0,156789.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,155000000
VinFast,Lux A2.0,2020.0,19000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,570000000
Nissan,X trail,2019.0,62000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,629000000
Ford,Ranger,2018.0,87000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,598000000
Hyundai,Santa Fe,2008.0,60000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,268000000
Mercedes Benz,E Class,2017.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1085000000
Toyota,Innova,2022.0,72600.0,Xăng,Tự động,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,719000000
Hyundai,Accent,2022.0,30000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,405000000
Toyota,Vios,2016.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,296000000
Mazda,CX 5,2020.0,80000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,655000000
Ford,Everest,2019.0,60000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,859000000
Toyota,Wigo,2019.0,95000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,199000000
Toyota,Wigo,2019.0,128000.0,Xăng,Tự động,Nước khác,Hatchback,5.0,Đã sử dụng,255000000
Kia,Morning,2017.0,98000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,145000000
BMW,7 Series,2009.0,77000.0,Xăng,Tự động,Đức,Sedan,4.0,Đã sử dụng,599000000
Mercedes Benz,GLE Class,2016.0,88000.0,Xăng,Tự động,Đức,SUV / Cross over,5.0,Đã sử dụng,1388000000
Ford,Territory,2025.0,29.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,677000000
Kia,Carens,2011.0,100.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,185000000
Honda,Civic,2009.0,125858.0,Xăng,Số sàn,Việt Nam,Sedan,4.0,Đã sử dụng,205000000
